searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
HRO DC UNLOCK 8 PACK STARTER PACK 58 CARDS NFT TRADING CARDS,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dc643513-9821-4047-8fca-1c2214a1dfb4
MAGIC THE GATHERING LORD OF THE RINGS GIFT BUNDLE,18,99.99,149.99,124.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a6a8c375-70ec-4a71-8ad3-b8cb5ef0f910
POKEMON SAS7 EVOLVING SKIES ELITE TRAINER BOX,17,92.0,185.0,147.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2b177013-ea0a-4ed7-8da2-104667aa85aa
POKEMON TCG CELEBRATIONS ULTRA PREMIUM COLLECTION,8,200.0,389.44,338.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f0c6ddf3-095c-4ff0-b017-0b597e5ae057
POKEMON TCG CHAMPION'S PATH ELITE TRAINER BOX,17,66.0,99.95,86.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c3d71cff-5e56-4fa5-959b-02f127bfeda1
POKEMON TCG HIDDEN FATES TIN,27,57.79,162.5,77.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5e2d8626-f832-43f1-b4ec-c4f703d42162
POKEMON TCG SCARLET VIOLET 3.5 POKEMON 151 BOOSTER BUNDLE,27,30.0,349.0,85.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-35e9bec4-66aa-4793-b549-d24f3fe94e1c
POKEMON TCG SWORD AND SHIELD EVOLVING SKIES BOOSTER BOX,8,670.0,2300.0,1136.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-385e2f3e-85c6-4c29-8332-8315c64a88a1
POKEMON TCG: SUN & MOON COSMIC ECLIPSE BOOSTER BOX,36,775.0,1000.0,867.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-18ccfde2-b32b-407e-b74a-db4263fb1c40
RAVENSBURGER DISNEY LORCANA BOITE DE 24 BOOSTERS VAGUE 2,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0fd6792e-5a65-4fef-b943-d7fb94eb0884
RAVENSBURGER DISNEY LORCANA BOOSTER PACK - 24 COUNT,16,170.0,299.95,207.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6c4b1f41-e5a4-4063-9929-5e2bbbcd87a8
RAVENSBURGER DISNEY LORCANA D100 COLLECTORS EDITION TCG GIFT SET,41,44.99,169.0,63.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6322299d-902a-48af-b23d-ca6674d3d8a7
RAVENSBURGER DISNEY LORCANA FIRST CHAPTER TCG GIFT SET,31,62.75,250.5,110.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dd42b3c4-f7ed-4672-9221-15426e0f0262
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TCG BOOSTER PACK,29,62.8,143.76,112.01,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f7410896-2d0a-4815-b11f-fe4b220c69b4
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TROVE,6,49.99,179.99,90.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-70f78da8-a705-446b-9614-9559017a0659
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER EVIL QUEEN,32,149.0,1000.0,331.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b504ae4f-7692-43af-be0f-02001db4f8bd
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER MICKEY MOUSE DECK BOX,7,18.5,36.83,29.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ca7158d7-eaf1-4771-ad91-0224558e0d2d
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER MICKEY MOUSE SLEEVE PACK,49,18.88,625.0,103.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-08b093a3-2c38-445a-812c-320737ba6c78
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK AMBER AMETHYST,43,16.95,29.0,21.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-515b77d2-1660-4863-b8a0-0e2cd388af8e
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK RUBY EMERALD,33,15.99,37.5,21.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cdc7edac-4bd1-4bf8-aaca-99d4965f6627
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK SAPPHIRE STEEL,28,17.99,49.99,24.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6033b5f6-8da7-48d3-9321-5669d46166de
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STITCH PORTFOLIO,23,140.75,1000.0,348.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c1bdb21e-2223-49f3-b5c9-208b7b82a05f
RAVENSBURGER DISNEY LORCANA TROVE SET,28,50.0,219.99,89.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-07f7f997-f0b9-4068-89f4-f1494859ab5a
