searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
volkswagen t1 rockster glh76,https://streamline1175.github.io/130-Search-Results/volkswagen_t1_rockster_glh76.html,55,24.5,122.5,52.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b297252b-b253-4d76-80aa-6dc0549663f8
rlc selections 1969 dodge charger r t gxj25,https://streamline1175.github.io/130-Search-Results/rlc_selections_1969_dodge_charger_r_t_gxj25.html,24,35.0,56.89,42.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-375d0ae7-cd30-4671-8217-a4c5def44339
rlc exclusive 2020 convention 70 mustang boss 302 glh81,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2020_convention_70_mustang_boss_302_glh81.html,8,76.0,99.99,87.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-438124a2-a513-4b8d-86d1-270fea998335
rlc exclusive 2006 bmw m3 gxj28,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2006_bmw_m3_gxj28.html,22,50.0,69.99,54.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e5a626c8-e843-4fb5-9eb7-2f0a5a7d2660
rlc exclusive 1962 ford f100 gxj18,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1962_ford_f100_gxj18.html,26,33.0,69.52,43.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-476a52e9-ed33-477c-911d-afd1e96d0cd5
hwc special editions thunder roller gxj26,https://streamline1175.github.io/130-Search-Results/hwc_special_editions_thunder_roller_gxj26.html,10,52.0,84.95,60.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8afd4f3c-1cd2-4ab1-9662-90b75efd21c9
rlc exclusive 1990 chevy 454 ss hgk80,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1990_chevy_454_ss_hgk80.html,21,65.0,79.99,71.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1b644c7a-e1a2-45b3-916f-91ea06071e1f
matchbox porsche 911 rsr hjw63,https://streamline1175.github.io/130-Search-Results/matchbox_porsche_911_rsr_hjw63.html,9,32.77,42.98,37.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1823785b-b66e-47a5-b349-b9c28f879082
rlc exclusive selections 1972 nissan skyline ht 2000gt r hnl30,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_selections_1972_nissan_skyline_ht_2000gt_r_hnl30.html,19,33.0,64.0,41.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-efd73a1b-2db4-4d92-ab16-65f0d40cfc24
rlc exclusive nissan skyline gt r hgk73,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_nissan_skyline_gt_r_hgk73.html,11,112.5,130.0,122.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3aa9885d-a4d6-4958-9f9b-d4e49b07f93c
rlc exclusive 1986 porsche 959 hgk85,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1986_porsche_959_hgk85.html,9,37.5,49.94,43.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-887ee94e-6a86-4b8d-bd8e-7d357ee09d6d
rlc exclusive 1969 chevy camaro ss hnl21,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1969_chevy_camaro_ss_hnl21.html,39,33.19,78.0,41.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1bcd4aec-1e5c-4768-b960-98ad6e30197b
rlc exclusive 1995 honda integra type r hmy22,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1995_honda_integra_type_r_hmy22.html,41,47.0,64.99,52.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-290d997a-682d-45ba-b0cc-d0f05888bbc2
rlc exclusive magnus walker urban outlaw porsche 964 hnl26,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_magnus_walker_urban_outlaw_porsche_964_hnl26.html,42,44.0,63.99,49.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5aa41b63-a729-4b37-a28b-406f61a9cb2e
rlc exclusive pink editions nissan skyline gt r hnl06,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_pink_editions_nissan_skyline_gt_r_hnl06.html,24,77.0,102.99,82.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-967f0f02-07aa-4ba3-8f0e-d9436695615f
hwc special edition 64 impala glh86,https://streamline1175.github.io/130-Search-Results/hwc_special_edition_64_impala_glh86.html,5,117.5,180.0,151.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-56e56de2-a11d-4a65-a9cc-58db440abca3
rlc exclusive 1969 chevy c 10 glh94,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1969_chevy_c_10_glh94.html,16,38.0,103.5,64.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e91357e1-2130-4705-b4ea-0a5bb6ddd159
nissan skyline gt r glh90,https://streamline1175.github.io/130-Search-Results/nissan_skyline_gt_r_glh90.html,28,29.5,247.5,75.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8d0dd19b-2b40-47ae-8150-c94c59f325c2
rlc exclusive rwb porsche 930 w akira nakai figurine,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_rwb_porsche_930_w_akira_nakai_figurine.html,8,290.0,330.0,304.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-482d2d1d-4424-4c4e-9755-6b3cebd397e4
rlc exclusive lamborghini countach lp500 s,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_lamborghini_countach_lp500_s.html,13,63.21,179.99,149.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1b3e9576-cd6f-4ccd-9600-5b007ba42714
evan mock hot wheels toyota pickup north shore edition hhg50,https://streamline1175.github.io/130-Search-Results/evan_mock_hot_wheels_toyota_pickup_north_shore_edition_hhg50.html,4,170.0,180.0,176.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-349f8764-cf54-4072-8e26-40180060bbb4
rlc exclusive 1991 bmw m3 gxj17,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1991_bmw_m3_gxj17.html,36,55.0,119.99,73.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-18e4c0e3-fbac-4aa7-b719-f9da30528c5d
hwc special editions 17 ford raptor hck31,https://streamline1175.github.io/130-Search-Results/hwc_special_editions_17_ford_raptor_hck31.html,2,59.99,64.99,62.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fc644cf4-718a-4f37-9fc1-297e2886cb8f
monster high clawdeen wolf reproduction doll hgc30,https://streamline1175.github.io/130-Search-Results/monster_high_clawdeen_wolf_reproduction_doll_hgc30.html,28,26.0,130.52,62.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1aafc1b0-22d5-4028-a277-9ca6ff65315b
monster high skullector the nightmare before christmas dolls hnf99,https://streamline1175.github.io/130-Search-Results/monster_high_skullector_the_nightmare_before_christmas_dolls_hnf99.html,15,200.0,249.99,222.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e98907fc-9968-4cb4-8d6e-5d74eec9e4f4
monster high fang vote rochelle goyle doll hky89,https://streamline1175.github.io/130-Search-Results/monster_high_fang_vote_rochelle_goyle_doll_hky89.html,45,164.5,326.8,191.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-105a777c-c1b6-4cb1-ac38-2860cb9813eb
