searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
PLAYSTATION 5 CONSOLE COVERS - MARVEL SPIDER MAN 2 LIMITED EDITION,34,430.0,799.87,674.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-63a26b47-1f74-4d01-b51e-89906f77615c
PLAYSTATION DUALSENSE WIRELESS CONTROLLER - SPIDER MAN 2 LIMITED EDITION,8,144.99,205.0,169.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ec338374-6c6a-451c-9350-56a46e22ad58
POKEMON CARD GAME: SCARLET VIOLET S2 PALDEA EVOLVED 36 CT DISPLAY BOX,3,91.0,159.02,123.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-29f33862-7e06-4884-9f34-faa16af45a34
POKEMON POK SCARLET VIOLET S3.5 BOOSTER BUNDLE BOX,8,299.99,399.9,351.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ad92e4d1-6c2b-40a3-ad0a-f1818de5c97e
POKEMON TRADING CARD GAME: ORBEETLE V BOX,19,20.0,64.99,32.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2dbb1ae8-c2b7-49ef-a4b8-f1759c822edf
PULSE EXPLORE WIRELESS EARBUDS,46,149.75,264.95,175.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0de20b9d-cdb2-4010-a74a-449f8b166203
RAVENSBURGER DISNEY LORCANA BOOSTER PACK - 24 COUNT,16,170.0,299.95,207.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a61da5fb-c3c8-4c36-9e36-b54d1d041246
RAVENSBURGER DISNEY LORCANA D100 COLLECTORS EDITION TCG GIFT SET,41,44.99,169.0,63.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d1c6baae-389b-4bae-8b86-d94be63387ab
RAVENSBURGER DISNEY LORCANA FIRST CHAPTER TCG GIFT SET,39,59.99,219.99,94.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ed29c71c-f803-4143-80df-a5bf3d67dadf
RAVENSBURGER DISNEY LORCANA MALEFICENT PLAYMAT,46,54.94,200.97,95.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b7541d56-1d09-4fdd-abf2-a8e719cd0a0a
RAVENSBURGER DISNEY LORCANA MAUI PLAYMAT,5,89.99,99.99,97.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-278f485c-1304-4560-9cb4-9bf6ccc23db5
RAVENSBURGER DISNEY LORCANA MICKEY MOUSE PLAYMAT,25,80.0,180.0,101.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ea03c913-ce74-4712-9d66-5403e5466b20
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TCG BOOSTER BOX - 24 COUNT,17,117.99,124.99,121.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fb03256b-fa23-415c-ac67-da3b50d6625e
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TROVE,6,49.99,179.99,90.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7916a650-d7d2-4f41-b065-d9949a4a888c
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK AMBER AMETHYST,43,16.95,29.0,21.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b7e118e9-dc2a-40ec-99a3-36987bdb737d
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK RUBY EMERALD,33,15.99,37.5,21.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-13eec762-98ad-473b-ac3c-99babf1ea6aa
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK SAPPHIRE STEEL,28,17.99,49.99,24.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-838f7dae-77ac-4ec8-9cb1-85c0093e959c
RAVENSBURGER DISNEY LORCANA TROVE SET,28,50.0,219.99,89.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-82f54cd8-0115-4c2d-a223-235356d4a9b1
SONY PLAYSTATION 5 DIGITAL,12,299.99,500.0,384.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a3f9827c-2408-4ecf-a354-8c7a3260f39a
SONY PLAYSTATION 5 DIGITAL GOD OF WAR BUNDLE,43,306.0,729.0,434.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-308e3b4b-f40b-430d-ba39-1c83b40a9c66
