searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
mark ryden x barbie purse hpc92,https://streamline1175.github.io/130-Search-Results/mark_ryden_x_barbie_purse_hpc92.html,2,69.0,415.0,242.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a113d485-8028-4987-8e40-1c340e6843be
barbie bee mark ryden x barbie doll hjn30,https://streamline1175.github.io/130-Search-Results/barbie_bee_mark_ryden_x_barbie_doll_hjn30.html,11,240.0,316.06,272.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ebd57e01-b3c2-4fba-86cf-7c891d1ff7e0
star wars chewbacca barbie doll gmm96,https://streamline1175.github.io/130-Search-Results/star_wars_chewbacca_barbie_doll_gmm96.html,10,520.0,675.0,590.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c23b3cf2-8df5-4ef5-bf01-77d2a8d71e9d
barbie pink collection doll 4 hbx96,https://streamline1175.github.io/130-Search-Results/barbie_pink_collection_doll_4_hbx96.html,5,102.5,255.0,180.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4c2ca6a9-6ca2-4579-af02-78cf662f9877
barbie flight of fashion doll gnh49,https://streamline1175.github.io/130-Search-Results/barbie_flight_of_fashion_doll_gnh49.html,10,150.0,399.99,244.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b9e2d2fd-5598-4cc2-a0d3-7dcb9ad4a3f2
2022 dia de muertos benito santos barbie doll hby01,https://streamline1175.github.io/130-Search-Results/2022_dia_de_muertos_benito_santos_barbie_doll_hby01.html,18,375.0,949.99,478.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d8ffd2f0-99b9-4f04-8898-db6bf84084b8
2023 dia de muertos barbie x pink magnolia doll hjx16,https://streamline1175.github.io/130-Search-Results/2023_dia_de_muertos_barbie_x_pink_magnolia_doll_hjx16.html,17,215.5,499.99,261.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-64ff57ec-cf49-4c27-a31f-60077cb15915
barbie signature king ocean ken merman doll gtj97,https://streamline1175.github.io/130-Search-Results/barbie_signature_king_ocean_ken_merman_doll_gtj97.html,9,165.0,215.0,184.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b2b18d3b-ee94-43e9-b4ed-ca1a702fb60b
star wars c 3po x barbie doll gly30,https://streamline1175.github.io/130-Search-Results/star_wars_c_3po_x_barbie_doll_gly30.html,10,159.0,210.0,180.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8881fc52-98f9-42f2-addf-266f39eab6a4
barbie pink collection doll pink premiere gtj76,https://streamline1175.github.io/130-Search-Results/barbie_pink_collection_doll_pink_premiere_gtj76.html,20,61.0,235.5,122.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9baacef6-c520-4ea8-99cb-962bc09ce81f
barbie music series stevie nicks doll hmv00,https://streamline1175.github.io/130-Search-Results/barbie_music_series_stevie_nicks_doll_hmv00.html,41,175.0,235.0,194.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2172d615-b8dc-45b4-9a3c-ae222a93c5e4
barbie fashion photo p j doll reproduction hjx24,https://streamline1175.github.io/130-Search-Results/barbie_fashion_photo_p_j_doll_reproduction_hjx24.html,23,80.0,158.03,99.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5e98c257-0877-473b-8554-fdb14bd6a4aa
mark ryden x barbie bee brooch hpc96,https://streamline1175.github.io/130-Search-Results/mark_ryden_x_barbie_bee_brooch_hpc96.html,15,224.99,450.0,272.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-34bcfcd6-0ccf-4197-b454-a5c964e72452
christie 55th anniversary doll hjx29,https://streamline1175.github.io/130-Search-Results/christie_55th_anniversary_doll_hjx29.html,19,65.0,113.78,83.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8ed5e6a7-849a-47fc-9475-6246ebf45b87
barbie signature music series doll hcb98,https://streamline1175.github.io/130-Search-Results/barbie_signature_music_series_doll_hcb98.html,20,150.0,222.5,175.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-458b0ffd-e0fa-4d18-92f3-c3771e24d2c1
