searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
alex morgan barbie doll ght49,9,12.5,29.99,18.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1067353d-d4bb-45e8-acc1-13ba0e9d3ff6
annabelle monster high skullector doll hnd85,8,90.0,142.84,103.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fb3badb9-fe69-4f1a-905e-396adf975437
art of engineering barbie print hcy98,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-14d38158-adfa-4b85-a759-ef67a873c3ba
art of engineering hot wheels print hdb00,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5d7b9927-5f63-4607-bc7c-081019f15937
art of engineering magic 8 ball print hcy99,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9d873502-549c-4e7a-8a85-2c00eef9a2a2
art of engineering skeletor print hdb01,3,180.0,249.0,219.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3b0ea6e5-f846-4548-8ee8-89a4b4ac227e
mega pokemon ash pikachu path to victory building htj05,4,190.0,289.0,236.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8323d412-5b29-42c3-864c-ab0bc9bcef82
aston martin valhalla concept hww84,29,25.0,69.99,49.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-055f6b67-b25e-42d3-8b2f-80f5e6239b7f
aston martin vulcan hrx24,28,10.36,56.99,39.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ede88237-629d-42e3-8476-62e5ec02fbb4
back in action major matt mason big jim pulsar figures gyw83,7,45.0,64.99,54.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-74d0cf3c-3548-4dbf-8ca2-823a0e32216d
bad robot plush collectible hnv11,6,59.99,144.0,80.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-42259e90-7d31-4c77-b0f2-9b54c4045442
bad robot premium action figure hjg24,13,119.0,165.0,136.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-da194b8c-879d-40d0-b0a5-304f2a481817
bape hot wheels 1955 mercedes benz 300 sl hjp38,11,119.99,149.99,129.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a5f25702-eaa7-4073-b568-948281b59687
bape hot wheels flag logo trucker cap hpj75,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-65e914d6-412d-40f6-8d10-1a95889ca9aa
barbie 12 days of christmas doll and accessories hby18,8,225.0,299.98,252.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-34b0ed45-4395-44fe-9f9c-7a515277651d
barbie 12 days of spring doll and accessories hrm27,12,209.99,299.98,244.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7a3f37ba-95f7-4305-9838-fb193a327e96
barbie 1973 doctor barbie doll gtj94,12,49.99,99.0,74.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-64df75b8-6d8e-4a2d-b7cd-6a42ace350de
barbie 2021 dia de muertos doll gxl27,13,44.99,150.0,80.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d182f95c-d5bb-4263-8695-d157b3c2c322
barbie 2021 dia de muertos ken doll gxl26,19,64.95,175.0,94.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-30a48bda-3e67-4a15-901f-4fca2f61228e
barbie 35th anniversary teresa doll hjx32,8,43.0,94.22,63.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-973a493d-0f4a-4799-91a1-cb9e0f27d393
barbie 60th anniversary careers dolls limited edition bundle gnr88,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3c21ffb1-62ba-4aee-b62f-1e3b455ebed0
barbie 65th anniversary doll with blonde hair hrm58,13,60.0,118.95,78.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ee9651ec-aeb8-4738-8bb5-e2ad63ed3947
barbie 65th anniversary doll with brunette hair hrm59,10,57.0,115.0,73.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f714ab9c-c55b-4f3e-b8ed-bcac450b7061
barbie barbiestyle doll gtj82,26,68.99,326.61,165.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-71c3fc36-4c9a-47de-9747-e8da6cd68a7d
barbiestyle doll 2 gtj83,15,79.0,350.0,183.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-75694fdf-b08f-44a1-9ea3-e12e7c01afc7
barbie barbiestyle doll 3 gtj84,13,28.99,95.0,62.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-477adc8a-4d1b-4e99-8e0e-f3290a1acc1f
barbie barbiestyle doll 4 hcb75,10,42.95,110.54,68.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e4a961a8-48fa-4860-b908-f77466b1b45d
