searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
PURINA FANCY FEAST LICKABLE WET CAT FOOD SEAFOOD BISQUE - 16 PACK,21,19.42,43.35,23.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8e3f543a-c9f3-4fd6-bd41-4457fa69f7a5
RASPBERRY PI 4 MODEL B 2 GB,28,30.0,109.99,49.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-097c5580-c87f-42f4-8c0e-57ea28ed5ab7
RASPBERRY PI 4 MODEL B 4 GB,36,46.3,109.99,63.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0e0ae21b-8086-4f0e-bf9c-49f8b08aa1f1
RASPBERRY PI 4 MODEL B 8 GB,18,49.99,109.99,70.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-315d22eb-2ec5-44ab-a71e-74438abda580
RAZER CORE X EXTERNAL GPU ENCLOSURE,39,249.0,595.82,325.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f562f34d-3750-4571-9d0c-deac6bd52708
RIPPLE VEGAN VANILLA PROTEIN SHAKE - PACK OF 12,18,21.99,63.92,32.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ef25c593-6407-4d47-a055-2e911643e667
SAHALE SNACKS HONEY ALMONDS GLAZED MIX - PACK OF 18,17,18.92,55.89,29.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6a4384c8-100e-4242-bbf2-fecf9387d3b6
SAHALE SNACKS MAPLE PECANS GLAZED MIX - PACK OF 18,7,16.98,35.7,22.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-be9e6454-68c2-437a-bf5b-e9e7ae6ff0c4
SAMSUNG 860 PRO 256 GB 2.5 INCH SSD,30,19.99,279.99,103.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-84723f22-c410-4e03-ace4-b451616d9702
SOUTH PARK SNOW DAY COLLECTORS EDITION - PS5,13,279.97,349.95,305.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bef420cc-3c79-4d53-9aa8-3b289adff138
SPARKLING ICE CAFFEINE CHERRY VANILLA SPARKLING WATER,19,19.87,45.12,26.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-20842254-341f-4482-b77d-8e2e3e0c5b04
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - BLACK CHROMA,47,68.0,109.99,79.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c755ff32-afbd-4fff-9443-4c8bb14f9a9b
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - ABALONE,31,41.89,117.5,75.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9aa31684-076c-4bd1-8349-405958f4dfe3
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 40 OZ - AQUA,39,40.0,139.99,65.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fcc53d79-d4cf-461f-bc5b-d722162b4215
